Symbol,Name,Asset Class,Weight (%),Price,Shares,MarketCap,Notional Value,Sector,SEDOL,ISIN,Exchange
"EW","EDWARDS LIFESCIENCES CORP","Equity","0.18","234.96","1,594,482.00","374,639,490.72","374,639,490.72","Health Care","2567116","US28176E1082","New York Stock Exchange Inc."
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.18","103.33","3,602,726.00","372,269,677.58","372,269,677.58","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"DD","DUPONT DE NEMOURS INC","Equity","0.18","64.89","5,716,109.00","370,918,313.01","370,918,313.01","Materials","BK0VN47","US26614N1028","New York Stock Exchange Inc."
"ILMN","ILLUMINA INC","Equity","0.18","327.74","1,128,200.00","369,756,268.00","369,756,268.00","Health Care","2613990","US4523271090","NASDAQ"
"EQIX","EQUINIX REIT INC","Equity","0.18","562.80","649,903.00","365,765,408.40","365,765,408.40","Real Estate","BVLZX12","US29444U7000","NASDAQ"
"SHW","SHERWIN WILLIAMS","Equity","0.18","579.51","628,893.00","364,449,782.43","364,449,782.43","Materials","2804211","US8243481061","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.18","76.16","4,713,120.00","358,951,219.20","358,951,219.20","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","0.18","135.82","2,636,719.00","358,119,174.58","358,119,174.58","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"ECL","ECOLAB INC","Equity","0.17","185.98","1,918,200.00","356,746,836.00","356,746,836.00","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"AMD","ADVANCED MICRO DEVICES INC","Equity","0.17","42.35","8,332,026.00","352,861,301.10","352,861,301.10","Information Technology","2007849","US0079031078","NASDAQ"
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.17","93.03","3,781,786.00","351,819,551.58","351,819,551.58","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.17","36.11","9,643,499.00","348,226,748.89","348,226,748.89","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"EOG","EOG RESOURCES INC","Equity","0.17","77.91","4,447,460.00","346,501,608.60","346,501,608.60","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.17","51.90","6,666,379.00","345,985,070.10","345,985,070.10","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"EL","ESTEE LAUDER INC CLASS A","Equity","0.17","204.03","1,693,180.00","345,459,515.40","345,459,515.40","Consumer Staples","2320524","US5184391044","New York Stock Exchange Inc."
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.17","58.61","5,887,322.00","345,055,942.42","345,055,942.42","Communication","2575818","US00507V1098","NASDAQ"
"LHX","L3HARRIS TECHNOLOGIES INC","Equity","0.17","201.34","1,710,073.00","344,306,097.82","344,306,097.82","Industrials","BK9DTN5","US5024311095","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.17","145.58","2,360,445.00","343,633,583.10","343,633,583.10","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"ADI","ANALOG DEVICES INC","Equity","0.16","118.86","2,830,356.00","336,416,114.16","336,416,114.16","Information Technology","2032067","US0326541051","NASDAQ"
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.16","57.80","5,806,183.00","335,597,377.40","335,597,377.40","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"WM","WASTE MANAGEMENT INC","Equity","0.16","112.03","2,990,397.00","335,014,175.91","335,014,175.91","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.16","44.70","7,441,140.00","332,618,958.00","332,618,958.00","Utilities","2670519","US30161N1019","NASDAQ"
"SYY","SYSCO CORP","Equity","0.16","84.23","3,938,791.00","331,764,365.93","331,764,365.93","Consumer Staples","2868165","US8718291078","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.16","50.16","6,602,661.00","331,189,475.76","331,189,475.76","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"BAX","BAXTER INTERNATIONAL INC","Equity","0.16","83.86","3,918,818.00","328,632,077.48","328,632,077.48","Health Care","2085102","US0718131099","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","0.16","180.59","1,790,337.00","323,316,958.83","323,316,958.83","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"ROST","ROSS STORES INC","Equity","0.16","114.39","2,790,658.00","319,223,368.62","319,223,368.62","Consumer Discretionary","2746711","US7782961038","NASDAQ"
"PGR","PROGRESSIVE CORP","Equity","0.16","71.10","4,475,099.00","318,179,538.90","318,179,538.90","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","0.16","150.64","2,102,737.00","316,756,301.68","316,756,301.68","Utilities","2138158","US8168511090","New York Stock Exchange Inc."
"LRCX","LAM RESEARCH CORP","Equity","0.15","284.25","1,109,416.00","315,351,498.00","315,351,498.00","Information Technology","2502247","US5128071082","NASDAQ"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Equity","0.15","147.90","2,097,352.00","310,198,360.80","310,198,360.80","Consumer Discretionary","2210614","US5719032022","NASDAQ"
"ADSK","AUTODESK INC","Equity","0.15","184.37","1,681,497.00","310,017,601.89","310,017,601.89","Information Technology","2065159","US0527691069","NASDAQ"
"DOW","DOW INC","Equity","0.15","54.17","5,700,275.00","308,783,896.75","308,783,896.75","Materials","BHXCF84","US2605571031","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.15","50.48","6,109,468.00","308,405,944.64","308,405,944.64","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"MPC","MARATHON PETROLEUM CORP","Equity","0.15","60.75","5,052,730.00","306,953,347.50","306,953,347.50","Energy","B3K3L40","US56585A1025","New York Stock Exchange Inc."
