Symbol,Name,Asset Class,Weight (%),Price,Shares,MarketCap,Notional Value,Sector,SEDOL,ISIN,Exchange
"UCBI","UNITED COMMUNITY BANKS INC","Equity","0.27","30.93","4,184,363.00","129,422,347.59","129,422,347.59","Financials","2862156","US90984P3038","NASDAQ"
"MANT","MANTECH INTERNATIONAL CORP CLASS A","Equity","0.27","77.96","1,658,531.00","129,299,076.76","129,299,076.76","Information Technology","2825308","US5645631046","NASDAQ"
"KWR","QUAKER CHEMICAL CORP","Equity","0.27","159.19","798,074.00","127,045,400.06","127,045,400.06","Materials","2715186","US7473161070","New York Stock Exchange Inc."
"FLOW","SPX FLOW INC","Equity","0.27","48.23","2,633,660.00","127,021,421.80","127,021,421.80","Industrials","BYMN2T7","US78469X1072","New York Stock Exchange Inc."
"CADE","CADENCE BANCORPORATION CLASS A","Equity","0.26","17.11","7,314,331.00","125,148,203.41","125,148,203.41","Financials","BYWVH74","US12739A1007","New York Stock Exchange Inc."
"CUB","CUBIC CORP","Equity","0.26","64.83","1,929,500.00","125,089,485.00","125,089,485.00","Industrials","2239266","US2296691064","New York Stock Exchange Inc."
"EPAY","BOTTOMLINE TECHNOLOGIES INC","Equity","0.26","52.79","2,363,685.00","124,778,931.15","124,778,931.15","Information Technology","2389558","US1013881065","NASDAQ"
"AAON","AAON INC","Equity","0.26","49.04","2,517,572.00","123,461,730.88","123,461,730.88","Industrials","2268130","US0003602069","NASDAQ"
"ROIC","RETAIL OPPORTUNITY INVESTMENTS REI","Equity","0.26","17.30","7,075,516.00","122,371,049.22","122,371,049.22","Real Estate","B28YD08","US76131N1019","NASDAQ"
"SPSC","SPS COMMERCE INC","Equity","0.26","56.55","2,160,213.00","122,160,045.15","122,160,045.15","Information Technology","B57VWJ3","US78463M1071","NASDAQ"
"EHTH","EHEALTH INC","Equity","0.26","98.29","1,242,543.00","122,129,551.47","122,129,551.47","Financials","B1G0F83","US28238P1093","NASDAQ"
"CTRE","CARETRUST REIT INC","Equity","0.26","20.61","5,914,750.00","121,902,997.50","121,902,997.50","Real Estate","BMP8TL6","US14174T1079","NASDAQ"
"GWB","GREAT WESTERN BANCORP INC","Equity","0.26","35.78","3,404,730.00","121,821,239.40","121,821,239.40","Financials","BRHZ1X6","US3914161043","New York Stock Exchange Inc."
"SCL","STEPAN","Equity","0.26","97.67","1,244,377.00","121,538,301.59","121,538,301.59","Materials","2845005","US8585861003","New York Stock Exchange Inc."
"ELY","CALLAWAY GOLF","Equity","0.26","20.86","5,823,605.00","121,480,400.30","121,480,400.30","Consumer Discretionary","2173933","US1311931042","New York Stock Exchange Inc."
"PMT","PENNYMAC MORTGAGE INVESTMENT TRUST","Equity","0.25","22.29","5,434,899.00","121,143,898.71","121,143,898.71","Financials","B3V8JL7","US70931T1034","New York Stock Exchange Inc."
"FWRD","FORWARD AIR CORP","Equity","0.25","68.70","1,759,502.00","120,877,787.40","120,877,787.40","Industrials","2510790","US3498531017","NASDAQ"
"PPBI","PACFIC PREMIER BANCORP INC","Equity","0.25","33.65","3,561,258.00","119,836,331.70","119,836,331.70","Financials","2767217","US69478X1054","NASDAQ"
"MDC","MDC HOLDINGS INC","Equity","0.25","39.00","3,068,030.00","119,653,170.00","119,653,170.00","Consumer Discretionary","2561204","US5526761086","New York Stock Exchange Inc."
"FSS","FEDERAL SIGNAL CORP","Equity","0.25","31.76","3,735,802.00","118,649,071.52","118,649,071.52","Industrials","2333986","US3138551086","New York Stock Exchange Inc."
"MYGN","MYRIAD GENETICS INC","Equity","0.25","25.91","4,573,721.00","118,505,111.11","118,505,111.11","Health Care","2614153","US62855J1043","NASDAQ"
"PRA","PROASSURANCE CORP","Equity","0.25","36.86","3,201,130.00","117,993,651.80","117,993,651.80","Financials","2612737","US74267C1062","New York Stock Exchange Inc."
"NSA","NATIONAL STORAGE AFFILIATES TRUST","Equity","0.25","32.09","3,669,290.00","117,747,516.10","117,747,516.10","Real Estate","BWWCK85","US6378701063","New York Stock Exchange Inc."
"WD","WALKER & DUNLOP INC","Equity","0.25","66.54","1,769,419.00","117,737,140.26","117,737,140.26","Financials","B4TZV44","US93148P1021","New York Stock Exchange Inc."
"BLMN","BLOOMIN BRANDS INC","Equity","0.25","21.88","5,375,409.00","117,613,948.92","117,613,948.92","Consumer Discretionary","B847RJ0","US0942351083","NASDAQ"
"EVTC","EVERTEC INC","Equity","0.25","31.79","3,696,499.00","117,511,703.21","117,511,703.21","Information Technology","B7KY3Z6","PR30040P1032","New York Stock Exchange Inc."
"FORM","FORMFACTOR INC","Equity","0.25","25.24","4,654,948.00","117,490,887.52","117,490,887.52","Information Technology","2891826","US3463751087","NASDAQ"
