Symbol,Name,Asset Class,Weight (%),Price,Shares,MarketCap,Notional Value,Sector,SEDOL,ISIN,Exchange
"EWBC","EAST WEST BANCORP INC","Equity","0.39","48.47","4,195,578.00","203,359,665.66","203,359,665.66","Financials","2487407","US27579R1041","NASDAQ"
"DEI","DOUGLAS EMMETT REIT INC","Equity","0.39","42.72","4,748,695.00","202,864,250.40","202,864,250.40","Real Estate","B1G3M58","US25960P1093","New York Stock Exchange Inc."
"CONE","CYRUSONE REIT INC","Equity","0.39","62.12","3,262,908.00","202,691,844.96","202,691,844.96","Real Estate","B7YRLH9","US23283R1005","NASDAQ"
"CHE","CHEMED CORP","Equity","0.39","441.41","458,974.00","202,595,713.34","202,595,713.34","Health Care","2190084","US16359R1032","New York Stock Exchange Inc."
"TCF","TCF FINANCIAL CORP","Equity","0.39","45.76","4,424,342.00","202,457,889.92","202,457,889.92","Financials","BK5FNZ5","US8723071036","NASDAQ"
"CBSH","COMMERCE BANCSHARES INC","Equity","0.38","67.35","2,989,603.00","201,349,762.05","201,349,762.05","Financials","2213204","US2005251036","NASDAQ"
"WWD","WOODWARD INC","Equity","0.38","122.50","1,622,343.00","198,737,017.50","198,737,017.50","Industrials","2948089","US9807451037","NASDAQ"
"EHC","ENCOMPASS HEALTH CORP","Equity","0.38","69.77","2,843,569.00","198,395,809.13","198,395,809.13","Health Care","BYX2YJ7","US29261A1007","New York Stock Exchange Inc."
"PB","PROSPERITY BANCSHARES INC","Equity","0.38","71.68","2,750,825.00","197,179,136.00","197,179,136.00","Financials","2310257","US7436061052","New York Stock Exchange Inc."
"FAF","FIRST AMERICAN FINANCIAL CORP","Equity","0.38","61.00","3,231,395.00","197,115,095.00","197,115,095.00","Financials","B4NFPK4","US31847R1023","New York Stock Exchange Inc."
"ACM","AECOM","Equity","0.37","43.06","4,546,685.00","195,780,256.10","195,780,256.10","Industrials","B1VZ431","US00766T1007","New York Stock Exchange Inc."
"CDK","CDK GLOBAL INC","Equity","0.37","55.32","3,493,721.00","193,272,645.72","193,272,645.72","Information Technology","BQXTWQ5","US12508E1010","NASDAQ"
"FIVE","FIVE BELOW INC","Equity","0.37","120.13","1,604,673.00","192,769,367.49","192,769,367.49","Consumer Discretionary","B85KFY9","US33829M1018","NASDAQ"
"PRAH","PRA HEALTH SCIENCES INC","Equity","0.36","104.43","1,810,147.00","189,033,651.21","189,033,651.21","Health Care","BSHZ3V5","US69354M1080","NASDAQ"
"ITT","ITT INC","Equity","0.35","73.19","2,536,716.00","185,662,244.04","185,662,244.04","Industrials","BZBY209","US45073V1089","New York Stock Exchange Inc."
"ORI","OLD REPUBLIC INTERNATIONAL CORP","Equity","0.35","22.58","8,215,748.00","185,511,589.84","185,511,589.84","Financials","2659109","US6802231042","New York Stock Exchange Inc."
"CIEN","CIENA CORP","Equity","0.35","41.25","4,471,336.00","184,442,610.00","184,442,610.00","Information Technology","B1FLZ21","US1717793095","New York Stock Exchange Inc."
"ACC","AMERICAN CAMPUS COMMUNITIES REIT I","Equity","0.35","46.24","3,960,791.00","183,146,975.84","183,146,975.84","Real Estate","B02H871","US0248351001","New York Stock Exchange Inc."
"OSK","OSHKOSH CORP","Equity","0.35","92.19","1,971,576.00","181,759,591.44","181,759,591.44","Industrials","2663520","US6882392011","New York Stock Exchange Inc."
